Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-12-02,Midsommar,2019,https://boxd.it/bTW2lT,4,,,2025-12-01
2025-12-02,The Man from Earth,2007,https://boxd.it/bU6seT,4.5,,,2025-12-01
2025-12-02,Pulp Fiction,1994,https://boxd.it/bUbIOt,4.5,Yes,,2025-12-02
2025-12-04,Gone Girl,2014,https://boxd.it/bVkxtV,4.5,,,2025-12-03
2025-12-05,Scent of a Woman,1992,https://boxd.it/bVSgKj,3,,,2025-12-04
2025-12-05,Porco Rosso,1992,https://boxd.it/bWhRk3,3.5,,,2025-12-05
2025-12-07,Tony Robbins: I Am Not Your Guru,2016,https://boxd.it/bXtldd,0.5,,,2025-12-07
2025-12-08,SAVING İLKER CANİKLİGİL,2025,https://boxd.it/bYvakZ,,,,2025-12-08
2025-12-11,Memories of Murder,2003,https://boxd.it/c0biIX,5,,,2025-12-10
2025-12-15,What's Eating Gilbert Grape,1993,https://boxd.it/c2Ugyf,3.5,,,2025-12-14
2025-12-16,The Big Short,2015,https://boxd.it/c3S523,3,,,2025-12-15
2025-12-20,The Guilty,2018,https://boxd.it/c7WVLD,3.5,,,2025-12-20
2025-12-20,The Guilty,2021,https://boxd.it/c7XtxZ,1,,,2025-12-20
2025-12-26,After Hours,1985,https://boxd.it/cdYSTR,3.5,,,2025-12-25
2025-12-26,Once Upon a Time in America,1984,https://boxd.it/ceKAv9,5,,,2025-12-26
2025-12-27,Alphaville,1965,https://boxd.it/cfLG45,3,,,2025-12-27
2025-12-31,Seven Samurai,1954,https://boxd.it/ck4gsz,4.5,,,2025-12-30
2026-01-01,Dogville,2003,https://boxd.it/clXUT5,4,,,2026-01-01
2026-01-03,Funny Games,1997,https://boxd.it/copBvn,3.5,,,2026-01-02
2026-01-05,The Hateful Eight,2015,https://boxd.it/crMHGJ,3.5,,,2026-01-04
